Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party,Surname
A. Donald McEachin,RepMcEachin,2017-01-03 00:00:00+00:00,816181091673448448,male,Germany,1961-10-10 00:00:00+00:00,59.0,repmceachin,Democratic,McEachin
Aaron Michlewitz,RepMichlewitz,2010-06-27 00:00:00+00:00,160246973,male,United States of America,1978-01-01 00:00:00+00:00,42.0,,Democratic,Michlewitz
Aaron Peskin,AaronPeskin,2010-11-13 00:00:00+00:00,215369273,male,United States of America,1964-06-17 00:00:00+00:00,56.0,apeskin52,Democratic,Peskin
Aaron Peña,AaronPena,2007-10-31 00:00:00+00:00,9843332,male,United States of America,1959-06-08 00:00:00+00:00,61.0,,Republican,Peña
Aaron Schock,aaronschock,2009-03-12 00:00:00+00:00,23951197,male,United States of America,1981-05-28 00:00:00+00:00,39.0,aaronschock,Republican,Schock
Abby Finkenauer,Abby4Iowa,2013-03-12 00:00:00+00:00,1262017122,female,United States of America,1988-12-27 00:00:00+00:00,31.0,abby4iowa,Democratic,Finkenauer
Abigail Spanberger,SpanbergerVA07,2018-12-28 00:00:00+00:00,1078771401497161728,female,United States of America,1978-08-01 00:00:00+00:00,42.0,repspanberger,Democratic,Spanberger
Abigail Spanberger,RepSpanberger,2018-12-28 00:00:00+00:00,1078771401497161728,female,United States of America,1978-08-01 00:00:00+00:00,42.0,repspanberger,Democratic,Spanberger
Abigail Spanberger,SpanbergerVA07,2017-07-06 00:00:00+00:00,882958562296819714,female,United States of America,1978-08-01 00:00:00+00:00,42.0,repspanberger,Democratic,Spanberger
Abigail Spanberger,RepSpanberger,2017-07-06 00:00:00+00:00,882958562296819714,female,United States of America,1978-08-01 00:00:00+00:00,42.0,repspanberger,Democratic,Spanberger
Adam Kinzinger,repkinzinger,2010-11-24 00:00:00+00:00,219429281,male,United States of America,1978-02-27 00:00:00+00:00,42.0,,Republican,Kinzinger
Adam Putnam,adamputnam,2009-06-19 00:00:00+00:00,48809111,male,United States of America,1974-07-31 00:00:00+00:00,46.0,,Republican,Putnam
Adam Schiff,RepAdamSchiff,2009-04-07 00:00:00+00:00,29501253,male,United States of America,1960-06-22 00:00:00+00:00,60.0,repadamschiff,Democratic,Schiff
Adam Smith,RepAdamSmith,2009-07-21 00:00:00+00:00,58928690,male,United States of America,1965-06-15 00:00:00+00:00,55.0,,Democratic,Smith
Adam Zemke,adamzemke,,,male,United States of America,1983-06-04 00:00:00+00:00,37.0,,Democratic,Zemke
Adlai Stevenson III,AdlaiEStevenson,2010-11-30 00:00:00+00:00,221507760,male,United States of America,1930-10-10 00:00:00+00:00,90.0,,Democratic,III
Adrian Fenty,adrianfenty,2013-08-04 00:00:00+00:00,1644427472,male,United States of America,1970-12-06 00:00:00+00:00,49.0,,Democratic,Fenty
Adrian Smith,RepAdrianSmith,2011-05-10 00:00:00+00:00,296245061,male,United States of America,1970-12-19 00:00:00+00:00,49.0,repadriansmith,Republican,Smith
Adriano Espaillat,RepEspaillat,2017-01-05 00:00:00+00:00,817076257770835968,male,Dominican Republic,1954-09-27 00:00:00+00:00,66.0,repadrianoespaillat,Democratic,Espaillat
Aftab Pureval,aftabpureval,2014-03-20 00:00:00+00:00,2400005258,male,United States of America,1982-09-09 00:00:00+00:00,38.0,aftabpureval,Democratic,Pureval
Aja Brown,AjaLBrown,2013-02-12 00:00:00+00:00,1173297636,female,United States of America,1982-04-17 00:00:00+00:00,38.0,ajalbrown,Democratic,Brown
Akiko Dōmoto,domotoakiko,2010-05-20 00:00:00+00:00,145969967,female,United States of America,1932-07-31 00:00:00+00:00,88.0,,Other,Dōmoto
Akiko Dōmoto,domotoakiko,2010-05-20 00:00:00+00:00,145969967,female,United States of America,1932-07-31 00:00:00+00:00,88.0,,Other,Dōmoto
Al Franken,alfranken,2007-07-08 00:00:00+00:00,7334402,male,United States of America,1951-05-21 00:00:00+00:00,69.0,,Other,Franken
Al Franken,alfranken,2007-07-08 00:00:00+00:00,7334402,male,United States of America,1951-05-21 00:00:00+00:00,69.0,,Democratic,Franken
Al Gore,algore,2008-11-06 00:00:00+00:00,17220934,male,United States of America,1948-03-31 00:00:00+00:00,72.0,,Democratic,Gore
Al Green,RepAlGreen,2010-06-16 00:00:00+00:00,156333623,male,United States of America,1947-09-01 00:00:00+00:00,73.0,repalgreen,Democratic,Green
Al Gross,DrAlGrossAK,2017-01-01 00:00:00+00:00,817869452473548800,male,United States of America,1962-04-13 00:00:00+00:00,58.0,dralgross,Other,Gross
Al Muratsuchi,asmmuratsuchi,2017-02-13 00:00:00+00:00,831279382052249600,male,Japan,1964-09-04 00:00:00+00:00,56.0,asmmuratsuchi,Democratic,Muratsuchi
Al Muratsuchi,asmmuratsuchi,2017-02-13 00:00:00+00:00,831279382052249600,male,Japan,1964-09-04 00:00:00+00:00,56.0,asmmuratsuchi,Other,Muratsuchi
Al Sharpton,TheRevAl,2009-05-25 00:00:00+00:00,42389136,male,United States of America,1954-10-03 00:00:00+00:00,66.0,,Democratic,Sharpton
Alan Grayson,AlanGrayson,2009-05-18 00:00:00+00:00,41017380,male,United States of America,1958-03-13 00:00:00+00:00,62.0,,Democratic,Grayson
Alan Lowenthal,replowenthal,2013-01-02 00:00:00+00:00,1055730738,male,United States of America,1941-03-08 00:00:00+00:00,79.0,replowenthal,Democratic,Lowenthal
Albert Bryan Jr.,govbryan,2019-02-23 00:00:00+00:00,1099290316920799233,male,United States of America,1968-02-21 00:00:00+00:00,52.0,,Other,Jr.
Alberto Gonzales,argonzales,,,male,United States of America,1955-08-04 00:00:00+00:00,65.0,,Republican,Gonzales
Albio Sires,RepSires,2009-01-06 00:00:00+00:00,18696134,male,Cuba,1951-01-26 00:00:00+00:00,69.0,,Democratic,Sires
Albio Sires,RepSires,2009-01-06 00:00:00+00:00,18696134,male,Cuba,1951-01-26 00:00:00+00:00,69.0,,Republican,Sires
Alcee Hastings,rephastingsfl,2014-04-08 00:00:00+00:00,2433737761,male,United States of America,1936-09-05 00:00:00+00:00,84.0,,Democratic,Hastings
Alex Azar,SecAzar,,,male,United States of America,1967-06-17 00:00:00+00:00,53.0,,Republican,Azar
Alex B. Morse,AlexBMorse,,,male,United States of America,1989-01-29 00:00:00+00:00,31.0,alex.morse,Democratic,Morse
Alex Padilla,alexpadilla4ca,2009-10-14 00:00:00+00:00,82489457,male,United States of America,1973-03-22 00:00:00+00:00,47.0,alexpadilla4ca,Democratic,Padilla
Alex X. Mooney,RepAlexMooney,2015-01-06 00:00:00+00:00,2964526557,male,United States of America,1971-06-05 00:00:00+00:00,49.0,repalexmooney,Republican,Mooney
Alexandra Lúgaro,alexandralugaro,2014-08-19 00:00:00+00:00,2746711039,female,United States of America,1981-06-10 00:00:00+00:00,39.0,alexandralugaro,Other,Lúgaro
Alexandra Lúgaro,alexandralugaro,2014-08-19 00:00:00+00:00,2746711039,female,United States of America,1981-06-10 00:00:00+00:00,39.0,alexandralugaro,Other,Lúgaro
Alexandria Ocasio-Cortez,AOC,2018-12-29 00:00:00+00:00,1079104563280527364,female,United States of America,1989-10-13 00:00:00+00:00,31.0,aoc,Democratic,Ocasio-Cortez
Alexandria Ocasio-Cortez,AOC,2010-04-28 00:00:00+00:00,138203134,female,United States of America,1989-10-13 00:00:00+00:00,31.0,aoc,Democratic,Ocasio-Cortez
Alfonso H. Lopez,Lopez4VA,2011-05-12 00:00:00+00:00,297428020,male,United States of America,1970-07-28 00:00:00+00:00,50.0,,Democratic,Lopez
"Alfred Lawson, Jr.",RepAlLawsonJr,2017-01-09 00:00:00+00:00,818472418620608512,male,United States of America,1948-09-21 00:00:00+00:00,72.0,,Democratic,Jr.
Alisha Thomas Morgan,AlishaMorgan,,t2086204400,female,United States of America,1978-09-05 00:00:00+00:00,42.0,,Democratic,Morgan
Alison Lundergan Grimes,AlisonForKY,2011-01-02 00:00:00+00:00,233368344,female,United States of America,1978-11-23 00:00:00+00:00,41.0,,Democratic,Grimes
Allen Andrews,AllenAndrewsSR1,,,male,United States of America,1967-02-05 00:00:00+00:00,53.0,,Republican,Andrews
Allen West,allenwest,2011-01-01 00:00:00+00:00,237403203,male,United States of America,1961-02-07 00:00:00+00:00,59.0,allenbwest,Republican,West
Allen West,allenwest,2011-01-12 00:00:00+00:00,237403203,male,United States of America,1961-02-07 00:00:00+00:00,59.0,allenbwest,Republican,West
Alma Adams,RepAdams,2014-12-11 00:00:00+00:00,2916086925,female,United States of America,1946-05-27 00:00:00+00:00,74.0,repadams,Democratic,Adams
Alveda King,AlvedaCKing,2014-07-09 00:00:00+00:00,2693406407,female,United States of America,1951-01-22 00:00:00+00:00,69.0,,Republican,King
Alveda King,AlvedaCKing,2014-07-09 00:00:00+00:00,2693406407,female,United States of America,1951-01-22 00:00:00+00:00,69.0,,Democratic,King
Alyssa Mastromonaco,AlyssaMastro44,2014-04-23 00:00:00+00:00,2504452635,female,United States of America,1976-02-22 00:00:00+00:00,44.0,,Democratic,Mastromonaco
Amanda Fritz,AmandaFritzRN,2012-05-18 00:00:00+00:00,584256712,female,United Kingdom,1958-04-01 00:00:00+00:00,62.0,,Democratic,Fritz
Ami Bera,RepBera,2012-11-16 00:00:00+00:00,950783972,male,United States of America,1965-03-02 00:00:00+00:00,55.0,repbera,Democratic,Bera
Amy Klobuchar,amyklobuchar,2009-04-20 00:00:00+00:00,33537967,female,United States of America,1960-05-25 00:00:00+00:00,60.0,amyklobuchar,Other,Klobuchar
Amy Klobuchar,amyklobuchar,2009-04-20 00:00:00+00:00,33537967,female,United States of America,1960-05-25 00:00:00+00:00,60.0,amyklobuchar,Democratic,Klobuchar
Amy McGrath,AmyMcGrathKY,2014-08-31 00:00:00+00:00,2783231383,female,United States of America,1975-06-01 00:00:00+00:00,45.0,amymcgrathky,Democratic,McGrath
Ana Sol Gutierrez,asolg,2010-02-06 00:00:00+00:00,111989710,female,El Salvador,1942-01-11 00:00:00+00:00,78.0,,Democratic,Gutierrez
Anatoly Kashpirovsky,Kashpirovskiy,2010-10-12 00:00:00+00:00,201615962,male,Ukraine,1939-08-11 00:00:00+00:00,81.0,anatoly_kashpirovskiy,Other,Kashpirovsky
Ander Crenshaw,AnderCrenshaw,2009-02-06 00:00:00+00:00,20209807,male,United States of America,1944-09-01 00:00:00+00:00,76.0,,Republican,Crenshaw
Andrea Stewart-Cousins,andreascousins,2009-04-30 00:00:00+00:00,36745613,female,United States of America,1950-09-02 00:00:00+00:00,70.0,,Democratic,Stewart-Cousins
Andrew Cuomo,NYGovCuomo,2010-12-30 00:00:00+00:00,232268199,male,United States of America,1957-12-06 00:00:00+00:00,62.0,andrewcuomo,Democratic,Cuomo
Andrew Gillum,AndrewGillum,2012-01-15 00:00:00+00:00,465046121,male,United States of America,1979-07-26 00:00:00+00:00,41.0,andrewgillum,Other,Gillum
Andrew Gillum,AndrewGillum,2012-01-15 00:00:00+00:00,465046121,male,United States of America,1979-07-26 00:00:00+00:00,41.0,andrewgillum,Democratic,Gillum
Andrew Ginther,andrewginther,2011-02-28 00:00:00+00:00,258851325,male,United States of America,1975-04-27 00:00:00+00:00,45.0,,Democratic,Ginther
Andrew R. Wheeler,EPAAWheeler,2017-02-17 00:00:00+00:00,832672006113931269,male,United States of America,1964-01-01 00:00:00+00:00,56.0,,Republican,Wheeler
Andrew Romanoff,Romanoff2020,,69343589,male,United States of America,1966-08-24 00:00:00+00:00,54.0,romanoff2020,Democratic,Romanoff
André Carson,RepAndreCarson,2010-10-06 00:00:00+00:00,199325935,male,United States of America,1974-10-16 00:00:00+00:00,46.0,repandrecarson,Democratic,Carson
Andy Barr,RepAndyBarr,2013-01-14 00:00:00+00:00,1089334250,male,United States of America,1973-07-24 00:00:00+00:00,47.0,,Republican,Barr
Andy Beshear,AndyBeshearKY,2015-01-20 00:00:00+00:00,2991360032,male,United States of America,1977-11-29 00:00:00+00:00,42.0,,Democratic,Beshear
Andy Biggs,RepAndyBiggsAZ,2017-01-04 00:00:00+00:00,816652616625168388,male,United States of America,1958-11-07 00:00:00+00:00,62.0,repandybiggs,Republican,Biggs
Andy Harris,RepAndyHarrisMD,2012-11-20 00:00:00+00:00,960962340,male,United States of America,1957-01-25 00:00:00+00:00,63.0,,Republican,Harris
Andy Kim,RepAndyKimNJ,2018-12-28 00:00:00+00:00,1078771848882593793,male,United States of America,1982-07-12 00:00:00+00:00,38.0,andykimnj,Democratic,Kim
Andy Kim,AndyKimNJ,2018-12-28 00:00:00+00:00,1078771848882593793,male,United States of America,1982-07-12 00:00:00+00:00,38.0,andykimnj,Democratic,Kim
Andy Kim,RepAndyKimNJ,2009-03-13 00:00:00+00:00,24215154,male,United States of America,1982-07-12 00:00:00+00:00,38.0,andykimnj,Democratic,Kim
Andy Kim,AndyKimNJ,2009-03-13 00:00:00+00:00,24215154,male,United States of America,1982-07-12 00:00:00+00:00,38.0,andykimnj,Democratic,Kim
Andy Levin,RepAndyLevin,2019-01-01 00:00:00+00:00,1080277407867772930,male,United States of America,1960-08-10 00:00:00+00:00,60.0,,Democratic,Levin
Andy Schor,andyschor,,,male,United States of America,1975-03-20 00:00:00+00:00,45.0,andyschor,Democratic,Schor
Angela Alsobrooks,CEXAlsobrooks,2008-08-01 00:00:00+00:00,15935867,female,United States of America,1971-02-23 00:00:00+00:00,49.0,,Democratic,Alsobrooks
Angela Alsobrooks,CEXAlsobrooks,2008-08-21 00:00:00+00:00,15935867,female,United States of America,1971-02-23 00:00:00+00:00,49.0,,Democratic,Alsobrooks
Angela Stanton-King,theangiestanton,,,female,United States of America,,,theangelastanton,Republican,Stanton-King
Angie Chen Button,angiechenbutton,,,female,Taiwan,1954-02-09 00:00:00+00:00,66.0,,Republican,Button
Angie Chen Button,angiechenbutton,,,female,Empire of Japan,1954-02-09 00:00:00+00:00,66.0,,Republican,Button
Angie Craig,AngieCraigMN,2019-01-01 00:00:00+00:00,1080222360643485698,female,United States of America,1972-02-14 00:00:00+00:00,48.0,,Democratic,Craig
Angie Craig,RepAngieCraig,2019-01-01 00:00:00+00:00,1080222360643485698,female,United States of America,1972-02-14 00:00:00+00:00,48.0,,Democratic,Craig
Angie Craig,AngieCraigMN,2011-11-13 00:00:00+00:00,411861905,female,United States of America,1972-02-14 00:00:00+00:00,48.0,,Democratic,Craig
Angie Craig,RepAngieCraig,2011-11-13 00:00:00+00:00,411861905,female,United States of America,1972-02-14 00:00:00+00:00,48.0,,Democratic,Craig
Angus King,SenAngusKing,,,male,United States of America,1944-03-31 00:00:00+00:00,76.0,,Other,King
Angus King,SenAngusKing,2013-01-07 00:00:00+00:00,1068481578,male,United States of America,1944-03-31 00:00:00+00:00,76.0,,Other,King
Anitere Flores,anitere_flores,2009-12-08 00:00:00+00:00,95357369,female,United States of America,1976-09-08 00:00:00+00:00,44.0,,Republican,Flores
Ann Kirkpatrick,RepKirkpatrick,2019-01-04 00:00:00+00:00,1081240074946252801,female,United States of America,1950-03-24 00:00:00+00:00,70.0,,Democratic,Kirkpatrick
Ann Kirkpatrick,Ann_Kirkpatrick,2019-01-04 00:00:00+00:00,1081240074946252801,female,United States of America,1950-03-24 00:00:00+00:00,70.0,,Democratic,Kirkpatrick
Ann Kirkpatrick,RepKirkpatrick,2011-03-25 00:00:00+00:00,272004287,female,United States of America,1950-03-24 00:00:00+00:00,70.0,,Democratic,Kirkpatrick
Ann Kirkpatrick,Ann_Kirkpatrick,2011-03-25 00:00:00+00:00,272004287,female,United States of America,1950-03-24 00:00:00+00:00,70.0,,Democratic,Kirkpatrick
Ann McLane Kuster,RepAnnieKuster,2013-01-03 00:00:00+00:00,1058717720,female,United States of America,1956-09-05 00:00:00+00:00,64.0,,Democratic,Kuster
Ann Romney,AnnRomney,2011-03-10 00:00:00+00:00,263758909,female,United States of America,1949-04-16 00:00:00+00:00,71.0,,Republican,Romney
Ann Wagner,RepAnnWagner,2012-12-31 00:00:00+00:00,1051446626,female,United States of America,1962-09-13 00:00:00+00:00,58.0,repannwagner,Republican,Wagner
Anna Eshoo,RepAnnaEshoo,2011-02-08 00:00:00+00:00,249348006,female,United States of America,1942-12-13 00:00:00+00:00,77.0,repannaeshoo,Democratic,Eshoo
Anna M. Valencia,annavalenciail,2014-04-15 00:00:00+00:00,2445918049,female,United States of America,1985-01-16 00:00:00+00:00,35.0,,Democratic,Valencia
